"","ST_CASE","STATE","VEH_NO.x","HIT_RUN","BODY_TYP","GVWR","V_CONFIG","TRAV_SP","DEFORMED","M_HARM","DR_DRINK","DR_ZIP","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","LAST_YR","PEDS","PERSONS","COUNTY","CITY","DAY_WEEK","MONTH","DAY","YEAR","HOUR","MINUTE","HARM_EV","MAN_COLL","REL_ROAD","LGT_COND","WEATHER","DRUNK_DR","FATALS","LATITUDE","LONGITUD","VEH_NO.y","PER_NO","AGE","SEX","PER_TYP","INJ_SEV","SEAT_POS","REST_USE","AIR_BAG","DRINKING","DRUGS","HOSPITAL","DOA","LAG_HRS","LAG_MINS","LOCATION","ttd_mins"
"15033",450263,45,1,0,21,0,0,10,0,9,0,24148,0,0,0,0,0,0,0,2,69,0,4,4,25,2007,6,5,12,2,1,2,1,0,1,34.74063889,-79.81426111,0,2,18,2,6,4,0,96,97,8,8,0,7,0,0,3,1
"15034",450268,45,1,0,80,0,0,60,6,42,1,29706,0,0,0,0,0,0,0,1,83,0,1,4,29,2007,14,20,33,0,2,1,1,1,1,34.93443333,-81.96056389,0,1,13,1,5,4,0,0,0,8,8,1,0,2,15,12,136
"15035",450268,45,1,0,80,0,0,60,6,42,1,29706,0,0,0,0,0,0,0,1,83,0,1,4,29,2007,14,20,33,0,2,1,1,1,1,34.93443333,-81.96056389,0,1,33,1,5,4,0,96,97,8,8,0,7,0,0,13,1
"15036",450268,45,1,0,80,0,0,60,6,42,1,29706,0,0,0,0,0,0,0,1,83,0,1,4,29,2007,14,20,33,0,2,1,1,1,1,34.93443333,-81.96056389,0,1,36,1,6,4,0,96,97,1,8,5,0,0,16,13,17
"15037",450271,45,2,0,81,0,0,20,0,12,1,29709,99,99,99,99,99,9999,1,2,45,0,4,4,23,2008,21,58,9,0,1,2,1,0,1,34.8582,-82.4609,0,1,51,1,6,4,0,0,0,1,8,1,0,1,6,12,67
"15038",450275,45,2,0,80,0,0,32,6,12,0,29649,1,3,0,0,0,2009,0,2,45,0,3,5,1,2007,4,17,12,1,2,3,1,1,1,34.81005833,-82.332875,0,1,29,1,5,4,0,0,0,8,8,1,0,0,6,12,7
"15039",450277,45,1,0,4,0,0,15,6,12,0,29526,1,0,0,1,0,2007,0,2,77,0,7,5,21,2011,1,30,35,0,4,2,1,1,1,34.93213889,-82.71979722,0,1,45,2,5,4,0,0,0,1,8,0,7,0,0,12,1
"15040",450279,45,1,0,66,3,6,999,6,21,0,30606,98,0,0,1,0,2010,0,1,41,0,1,5,17,2009,18,14,34,0,4,1,2,0,1,34.1963,-79.8497,0,1,89,2,5,4,0,0,0,8,8,0,7,0,0,12,1
"15041",450280,45,1,0,30,0,0,55,6,1,0,29924,0,0,0,0,0,0,0,3,51,0,5,6,3,2010,21,53,12,6,1,2,1,2,1,34.1306,-78.87617222,0,1,34,1,6,4,0,0,0,8,8,0,7,0,0,12,1
"15042",450282,45,1,0,4,0,0,65,6,30,1,29483,0,0,0,0,0,0,0,1,83,0,3,5,6,2008,15,45,53,0,4,1,1,1,1,35.023,-82.0056,0,1,46,1,6,4,0,0,0,8,8,0,7,0,0,12,1
"15043",450285,45,2,0,14,0,0,75,4,12,0,29414,1,0,0,1,0,2007,0,2,13,1145,5,6,10,2010,0,5,12,2,1,2,1,0,1,32.15643056,-80.75998333,0,1,41,1,5,4,0,0,0,8,8,1,0,0,4,12,5
"15044",450285,45,2,0,14,0,0,75,4,12,0,29414,1,0,0,1,0,2007,0,2,13,1145,5,6,10,2010,0,5,12,2,1,2,1,0,1,32.15643056,-80.75998333,0,1,42,1,6,4,0,0,0,1,8,0,7,0,0,12,1
"15045",450286,45,1,0,4,0,0,35,6,12,0,27545,0,0,0,3,0,2007,0,1,49,0,6,5,4,2007,18,45,42,0,4,1,2,1,1,32.70725,-81.19658611,0,1,43,1,5,4,0,0,0,8,8,0,7,0,0,15,1
"15046",450287,45,1,0,31,0,0,60,6,34,1,29640,0,0,0,1,0,2007,0,2,59,0,5,5,8,2008,16,25,1,0,4,1,1,0,1,34.4952,-82.1152,0,1,58,1,6,4,0,0,0,0,0,0,7,0,0,13,1
"15047",450289,45,2,0,4,0,0,60,6,12,0,29388,2,0,0,0,1,2010,0,2,59,0,2,4,5,2010,16,52,12,2,1,1,1,0,1,34.74647778,-82.14365833,0,1,53,2,5,4,0,0,0,8,8,0,7,0,0,12,1
"15048",450293,45,2,0,66,3,6,5,0,12,0,28806,0,0,0,1,2,2008,0,4,83,0,7,5,5,2007,20,50,42,0,4,2,2,0,3,34.92523889,-82.07898889,0,1,55,1,5,4,0,0,0,8,8,0,7,0,0,99,1
"15049",450294,45,1,0,4,0,0,60,6,42,1,29301,3,2,0,1,2,2008,0,1,1,0,7,5,5,2007,2,15,34,0,4,2,1,1,1,34.13045556,-82.45088333,0,1,53,1,5,4,0,96,97,1,8,0,7,0,0,13,1
"15050",450300,45,1,0,4,0,0,40,6,12,0,29617,1,0,0,0,1,2006,1,2,21,0,5,6,2,2011,5,50,8,0,1,2,1,0,1,35.01555278,-81.65047778,0,1,22,1,5,4,0,96,97,8,8,5,0,26,35,11,1596
"15051",450300,45,1,0,4,0,0,40,6,12,0,29617,1,0,0,0,1,2006,1,2,21,0,5,6,2,2011,5,50,8,0,1,2,1,0,1,35.01555278,-81.65047778,0,1,43,1,5,4,0,96,97,1,8,0,7,0,0,11,1
"15052",450302,45,1,0,30,0,0,55,6,42,0,29566,0,0,0,5,0,2007,0,2,21,0,7,6,4,2011,5,50,24,0,3,4,1,0,1,35.13356111,-81.53310278,0,1,37,2,5,4,0,96,97,8,8,0,7,0,0,11,1
"15053",450304,45,1,0,14,0,0,25,0,7,0,29625,0,0,0,0,0,0,0,9,29,0,1,6,5,2011,22,11,12,1,1,2,1,0,2,33.00880833,-80.66784444,0,1,24,1,5,4,0,0,0,1,8,0,7,0,0,12,1
